library_id,page,page_id,start_date,days_live,est_shows,est_spend_usd,est_spend_per_day,creatives_sharing,landing_page,hook,body_chars
1979449889375268,Apothekenjournal,1225747540610985,2026-08-07,27,761875,9142.5,338.61,1,gesundheit-im-alltag.com/pages/5-gruende-warum-carva-balance-v1-01,"Wir haben alle Parasiten in uns (ja, auch Du!), lass mich erklären..",10146
1374898884815000,Medizin der Natur,1025004000691682,2026-08-08,26,562419,6749.03,259.58,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,"3 Jahre lang dachte meine Frau, sie würde verrückt werden. 4 Ärzte sagten ihr, es sei Stress. Sie lagen alle falsch.",24719
27958249043840794,Alimora,543060172233952,2026-08-24,10,203857,2446.28,244.63,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
1684769269495401,Apothekenjournal,1225747540610985,2026-07-16,49,683491,8201.89,167.39,9,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Dein Körper sendet SOS-Signale 🚨,1123
1675177517077761,Apothekenjournal,1225747540610985,2026-07-30,35,408859,4906.31,140.18,2,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,"Wir haben alle Parasiten in uns (ja, auch du!), lass mich erklären...",10156
1071765175229646,Alimora,543060172233952,2026-08-25,9,94046,1128.55,125.39,2,alimora.shop/products/alimora-oregamix,🚨 Fühlst du dich trotz gesunder Ernährung immer noch „nicht richtig fit“?,732
1794795808373222,Alimora,543060172233952,2026-08-27,7,48044,576.53,82.36,2,alimora.shop/products/alimora-oregamix,🚨 Fühlst du dich trotz gesunder Ernährung immer noch „nicht richtig fit“?,732
1763652515081702,Anna Schneider,1223069027545428,2026-08-06,28,181868,2182.42,77.94,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,"Die ersten zwei Tage hat es alles aus meinem Körper gespült. Stuhl. Schlechte Bakterien. Und Dinge, die ich wirklich lieber nicht in der Toilette gesehen hätte.",10234
3526209380886925,Alimora,543060172233952,2026-08-18,16,88530,1062.36,66.4,2,alimora.shop/products/alimora-oregamix,🚨 Fühlst du dich trotz gesunder Ernährung immer noch „nicht richtig fit“?,732
1972543610072699,Vitalira,1168102119717090,2026-08-29,5,26356,316.27,63.25,1,vitalira.de/products/oregano-ol,Vitalira setzt auf Oregano-Öl und kaltgepresstes Schwarzkümmelöl – zwei der bewährtesten Pflanzenstoffe der Natur.,515
1029362809975341,Alimora,543060172233952,2026-08-11,23,106887,1282.64,55.77,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
1867806950847298,Alimora,543060172233952,2026-08-07,27,121001,1452.01,53.78,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
1688993662158708,Alimora,543060172233952,2026-08-20,14,62008,744.1,53.15,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
1728352058379310,Deutsches Gesundheitsblatt,1228456640340132,2026-07-21,44,191597,2299.16,52.25,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Über 137.000 zufriedene Kunden vertrauen auf Carva Balance.,270
2221061648477646,Alimora,543060172233952,2026-08-28,6,24586,295.03,49.17,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
2537641136679565,Gesundheit im Alltag,1012736405249839,2026-08-08,26,104472,1253.66,48.22,1,gesundheit-im-alltag.com/pages/5-gruende-warum-carva-balance-v1-01,🚨 Fühlst du dich immer noch „nicht richtig gesund“ – egal wie gesund du isst?,682
1825813768799704,Gesund & informiert,1259791110557340,2026-08-29,5,17271,207.25,41.45,1,gesundheit-im-alltag.com/pages/5-gruende-warum-carva-balance-v1-01,Carva Balance enthält zwei der weltweit kraftvollsten Pflanzenstoffe.,752
1762283725040958,DarmHeute,1324136727445927,2026-08-29,5,17101,205.21,41.04,1,www.darmheute.de/10gruende,Morgens sitzt deine Hose noch locker. Nach dem Essen fühlt sich dein Bauch plötzlich hart und aufgepumpt an. 🎈,419
1367248261684805,Wichtige Gesundheitsfunde,1179886348543695,2026-08-27,7,22682,272.18,38.88,2,alimora.shop/products/alimora-oregamix,🚨 Fühlst du dich trotz gesunder Ernährung immer noch „nicht richtig fit“?,732
2240331223409306,Apothekenjournal,1225747540610985,2026-07-29,36,113726,1364.71,37.91,2,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,"3 Jahre lang dachte meine Frau, sie würde verrückt werden. 4 Ärzte sagten ihr, es sei Stress. Sie lagen alle falsch.",25072
4191053587853050,Natürlich Gesund,1280782845110999,2026-08-30,4,11550,138.6,34.65,1,,"🚨 Was, wenn der größte Abnehm-Blocker deines Körpers… in deinem Inneren lebt?",922
984068234629096,Deutsches Gesundheitsblatt,1228456640340132,2026-07-22,43,118507,1422.08,33.07,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Mit 23 bekam ich die Diagnose Reizdarm. Ich bin jetzt 38.,11679
1600787645052753,Medizin der Natur,1025004000691682,2026-08-08,26,71514,858.17,33.01,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,"3 Jahre lang dachte meine Frau, sie würde verrückt werden. 4 Ärzte sagten ihr, es sei Stress. Sie lagen alle falsch.",24719
2104162896798773,Gesundheit im Alltag,1012736405249839,2026-07-04,61,155433,1865.2,30.58,1,gesundheit-im-alltag.com/pages/sales-page-gratis-r3-1-cb-a,Eliminiere Parasiten & Pilze ❌,30
2647450818985705,Apothekenjournal,1225747540610985,2026-07-16,49,117066,1404.79,28.67,9,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Dein Körper sendet SOS-Signale 🚨,1200
1089804243548114,Vitalira,1168102119717090,2026-08-29,5,10954,131.45,26.29,1,vitalira.de/products/oregano-ol,"Nicht jedes Oregano-Öl ist gleich — und die meisten merken das erst, wenn sie schon Geld dafür ausgegeben haben.",991
2565779387239974,Gesundheits-Community Deutschland,1105449909328839,2026-08-26,8,17329,207.95,25.99,1,alimora.shop/products/alimora-oregamix,🚨 Fühlst du dich trotz gesunder Ernährung immer noch „nicht richtig fit“?,685
1364774005759469,Gesundheit im Alltag,1012736405249839,2026-08-08,26,55704,668.45,25.71,1,gesundheit-im-alltag.com/pages/5-gruende-warum-carva-balance-v1-01,🚨 Fühlst du dich immer noch „nicht richtig gesund“ – egal wie gesund du isst?,682
1739268223868200,Gesundheit im Alltag,1012736405249839,2026-07-05,60,109682,1316.18,21.94,1,gesundheit-im-alltag.com/pages/sales-page-gratis-r3-1-cb-a,Ich bekam mit 19 die Diagnose Reizdarm.,10594
4746916235635026,Anna Weber,1087738941098917,2026-08-30,4,6579,78.95,19.74,1,modriga.com/pages/ekzem2,"Ihr Hautarzt weiß, warum Ihr Ekzem immer wiederkommt. Er sagt es Ihnen nur nicht.",8079
1932233087462574,Anna Schneider,1223069027545428,2026-07-30,35,56319,675.83,19.31,1,gesundheit-im-alltag.com/pages/5-gruende-warum-carva-balance-v1-01,"Ich hab in einem Dokument mitgezählt, wie viel ich für meinen Darm ausgegeben habe.",4787
1073135308501140,Gesundheit im Alltag,1012736405249839,2026-08-17,17,26660,319.92,18.82,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v1-01,Dein Körper sendet SOS-Signale 🚨,1123
1410283141194024,Gesundheit im Alltag,1012736405249839,2026-08-17,17,26135,313.62,18.45,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Dein Körper sendet SOS-Signale 🚨,1123
1025631360077278,Anna Schneider,1223069027545428,2026-08-06,28,41063,492.76,17.6,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,"Die ersten zwei Tage hat es alles aus meinem Körper gespült. Stuhl. Schlechte Bakterien. Und Dinge, die ich wirklich lieber nicht in der Toilette gesehen hätte.",10234
1394305319291162,Gesundheit im Alltag,1012736405249839,2026-08-14,20,28957,347.48,17.37,1,gesundheit-im-alltag.com/pages/sales-page-r3-1,Ich bekam mit 19 die Diagnose Reizdarm.,10594
1573784247626383,Deutsches Gesundheitsblatt,1228456640340132,2026-07-20,45,63608,763.3,16.96,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,"Meine 97-jährige Vermieterin in Sardinien isst jeden Morgen Käse, trinkt jeden Abend Rotwein, hat in ihrem ganzen Leben kein einziges Nahrungsergänzungsmittel genommen und war seit über zwanzig Jahren bei keinem Arzt.",14825
3533374496830598,Gesundheit Heute,1016955081503007,2026-08-08,26,36464,437.57,16.83,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v1-01,Ich bekam mit 19 die Diagnose Reizdarm. Jetzt bin ich 34. Stellt sich heraus: Ich hatte nie Reizdarm.,10508
1804185224367316,Gesundheitsratgeber,1144493555420023,2026-07-30,35,47603,571.24,16.32,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Dein Körper sendet SOS-Signale 🚨,1123
1696057568349786,Anna Schneider,1223069027545428,2026-07-30,35,47171,566.05,16.17,1,gesundheit-im-alltag.com/pages/5-gruende-warum-carva-balance-v1-01,"„Ich war so lange aufgebläht, dass ich dachte, das sei einfach … normal.""",8752
1083064874244388,Gesundheitsratgeber,1144493555420023,2026-08-06,28,35872,430.46,15.37,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,💚 NUR HEUTE: 50% Rabatt als Neukunde! 💚,183
2048665942449632,Anna Weber,1087738941098917,2026-09-01,2,2536,30.43,15.21,1,modriga.com/pages/nagelpilz6,"Ich habe ein Röntgenbild von meinem Fuß. Kein Arzt hat es mir gegeben, damit ich es behalte. Aber ich habe es behalten.",6037
1658654725687518,Natürlich Gesund,1280782845110999,2026-08-29,5,6300,75.6,15.12,1,vitalira.de/products/oregano-ol,Vitalira setzt auf zwei der bewährtesten Pflanzenstoffe der Welt.,615
2269306340278165,Alimora,543060172233952,2026-08-11,23,27566,330.79,14.38,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
1073163378367280,Deutsches Gesundheitsblatt,1228456640340132,2026-07-20,45,52155,625.86,13.91,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,"Mein Mann David nahm seit genau 14 Tagen Oreganoöl mit Schwarzkümmelöl, als etwas aus ihm herauskam, das uns beide zum Weinen brachte.",9432
1326482555883604,Apothekenjournal,1225747540610985,2026-07-16,49,56450,677.4,13.82,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,Ich hab mich so oft gefragt:,845
28026370243662796,Medizin der Natur,1025004000691682,2026-08-08,26,29352,352.22,13.55,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Während Big Pharma synthetische Lösungen mit unschönen Nebenwirkungen verbreitet …,990
1016645351364904,Natürlich Gesund,1280782845110999,2026-08-29,5,5600,67.2,13.44,1,vitalira.de/products/oregano-ol,"🚨 Was, wenn der größte Abnehm-Blocker deines Körpers… in deinem Inneren lebt?",922
931997979517829,Alimora,543060172233952,2026-08-19,15,16639,199.67,13.31,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,408
1046403751149353,Apothekenjournal,1225747540610985,2026-07-16,49,52878,634.54,12.95,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,Dein Körper sendet SOS-Signale 🚨,1123
1578455827105494,Alimora,543060172233952,2026-08-31,3,3224,38.69,12.9,1,alimora.shop/products/alimora-oregamix,Reinige deinen Körper von innen‼️,420
4243251602554448,Apothekenjournal,1225747540610985,2026-07-16,49,52441,629.29,12.84,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v2-01,Ich hab mich so oft gefragt:,845
969505726135756,Apothekenjournal,1225747540610985,2026-07-16,49,50511,606.13,12.37,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,Dein Körper sendet SOS-Signale 🚨,1123
1728794881504508,Gesundheit Heute,1016955081503007,2026-08-24,10,10263,123.16,12.32,1,gesundheit-im-alltag.com/pages/carva-balance-angebot-limitiert-v3-01,🚨 Fühlst du dich immer noch „nicht richtig gesund“ – egal wie gesund du isst?,694
